title,thumbnail,category,date,reviews,currency,originalprice,discountedprice
Cyberpunk 2077,https://cdn.akamai.steamstatic.com/steam/apps/1091500/header.jpg?t=1690808313,"['Cyberpunk', 'Open World', 'Nudity', 'RPG', 'Singleplayer']",2020-12-10,550835,₹,"2,999.00","1,499.00"
The Elder Scrolls® Online,https://cdn.akamai.steamstatic.com/steam/apps/306130/header.jpg?t=1689258769,"['RPG', 'MMORPG', 'Open World', 'Adventure', 'Fantasy']",2017-05-23,113404,₹,"1,599.00",479.00
Graveyard Keeper,https://cdn.akamai.steamstatic.com/steam/apps/599140/header.jpg?t=1690979259,"['Pixel Graphics', 'Crafting', 'RPG', 'Simulation', 'Sandbox']",2018-08-15,26879,₹,880.00,176.00
The Elder Scrolls V: Skyrim Special Edition,https://cdn.akamai.steamstatic.com/steam/apps/489830/header.jpg?t=1650909796,"['Open World', 'RPG', 'Adventure', 'Singleplayer', 'Fantasy']",2016-10-28,136348,₹,"1,799.00",449.00
EA SPORTS™ FIFA 23,https://cdn.akamai.steamstatic.com/steam/apps/1811260/header.jpg?t=1691622242,"['Football (Soccer)', 'Sports', 'Controller', 'eSports', 'PvP']",2022-09-29,109050,₹,"3,499.00",874.00
Sengoku Dynasty,https://cdn.akamai.steamstatic.com/steam/apps/1702010/header_alt_assets_0.jpg?t=1692007885,"['Adventure', 'Simulation', 'Life Sim', 'RPG', 'Exploration']",2023-08-10,1029,₹,"1,300.00","1,105.00"
DOOM Eternal,https://cdn.akamai.steamstatic.com/steam/apps/782330/header.jpg?t=1691683216,"['Action', 'FPS', 'Great Soundtrack', 'Gore', 'Fast-Paced']",2020-03-20,151782,₹,"1,799.00",449.00
Fallout 4,https://cdn.akamai.steamstatic.com/steam/apps/377160/header.jpg?t=1650909928,"['Open World', 'Post-apocalyptic', 'Singleplayer', 'Exploration', 'RPG']",2015-11-10,203248,₹,999.00,329.00
Deep Rock Galactic,https://cdn.akamai.steamstatic.com/steam/apps/548430/header_alt_assets_15.jpg?t=1691058359,"['Co-op', 'PvE', 'FPS', 'Exploration', 'Procedural Generation']",2020-05-13,183132,₹,699.00,230.00
Jurassic World Evolution 2,https://cdn.akamai.steamstatic.com/steam/apps/1244460/header_alt_assets_0.jpg?t=1691666733,"['Dinosaurs', 'Building', 'Simulation', 'Management', 'Sandbox']",2021-11-09,17492,₹,"2,449.00",612.00
Fallout 76,https://cdn.akamai.steamstatic.com/steam/apps/1151340/header.jpg?t=1687281091,"['Dark Comedy', 'Open World', 'RPG', 'Multiplayer', 'Post-apocalyptic']",2020-04-14,45805,₹,"2,499.00",624.00
Dead Cells,https://cdn.akamai.steamstatic.com/steam/apps/588650/header.jpg?t=1678188017,"['Adventure', 'Action Roguelike', 'Pixel Graphics', 'Metroidvania', '2D']",2018-08-07,116973,₹,629.00,377.00
